id,uid,date,Intention to Use 1,Perceived Usefulness 4,Perceived Ease of Use 2,Trust,Sex,Age,Aviophobia,Driving Frequency,Playing Hours,VR Playing Frequency
7,efb7844a4df8430f9d1c2f72babe5e86,2019-07-02 11:58:23,60,80,30,91,weiblich,51,1,32,0,unter 10
8,7be560561f2141518bd4f6c2c3c9f487,2019-07-02 12:07:53,56,62,36,85,männlich,52,0,34,0,Ein mal
9,fa0885937e114e9a907a5a4feda5798b,2019-07-02 12:09:22,29,79,27,52,männlich,49,0,30,0,Noch nie
10,132256b042674a5f8ed249578fc624b4,2019-07-02 12:45:58,100,96,100,83,männlich,47,0,30,8,Ein mal
11,3b057c2796314ef6a61de34c28d63e03,2019-07-02 12:51:29,68,78,37,50,männlich,52,0,32,0,Ein mal
12,745947bca87348c2adc5880fa794ed74,2019-07-02 14:22:35,75,80,24,16,weiblich,28,0,5,12,Ein mal
13,c1f0c9a4c8ae434c87894ac4c28d5d68,2019-07-02 14:54:12,50,50,50,50,männlich,52,0,32,0,Noch nie
14,84d3f08e719a4a3a87c2c0c3f6da121a,2019-07-03 12:38:25,100,100,20,81,weiblich,58,1,40,0,unter 10
15,d58f5ed5444f44ca8aec9f3891f049d9,2019-07-03 12:39:28,94,99,80,71,männlich,22,0,0,1,unter 10
16,421b48c78fef4252906f3c244238b028,2019-07-03 12:45:01,100,77,85,68,weiblich,26,0,0,0,mehr als 10 mal
17,f575aabd9c0541b8a4b6e9f7421c7fe5,2019-07-03 12:45:58,23,94,88,100,weiblich,29,0,5,2,unter 10
18,0000,2019-07-03 12:57:59,100,100,100,100,keine Angabe,12,0,42,42,unter 10
19,250698f2ad2947919919e966d5f4b88d,2019-07-05 17:26:47,36,76,83,77,intersex,55,1,55,33,unter 10
20,fdec43a7ba404f4fa36e6718bae7964b,2019-07-05 18:48:36,15,73,25,32,männlich,9,1,11,5,unter 10
21,023d6157a5804dc5b2d636ad70f8c17f,2019-07-05 18:48:43,100,94,90,88,männlich,28,1,5,5,mehr als 10 mal
22,cfb0e0b76216436abe0e139a677fb618,2019-07-08 09:21:25,100,100,71,100,männlich,15,0,0,56,Ein mal
23,1806ac0b2b0f4caab33102b1265b88a0,2019-07-08 13:06:05,99,85,100,99,weiblich,15,0,0,17,Ein mal
24,c5b2079562ea42ff8ad5b70d50ae20a1,2019-07-08 13:07:20,75,71,50,50,weiblich,15,0,0,0,Noch nie
25,36e3c6c32d934783951454dc1940ae99,2019-07-08 13:10:04,81,66,92,97,weiblich,15,0,0,5,Ein mal
26,1c2d52d73c6e46f183f577279f2996c9,2019-07-08 13:10:47,50,50,50,50,weiblich,15,1,0,0,Noch nie
27,e8d6b8836f414ce495365fb438661f18,2019-07-08 13:13:32,100,98,99,100,weiblich,15,0,0,15,Ein mal
28,e4825281d48d4bbab4222768909f1ec2,2019-07-08 13:15:06,75,60,25,85,weiblich,15,1,0,0,Noch nie
29,566e124ab03446ffa8fe39fb78c7e901,2019-07-08 14:08:36,73,68,69,76,männlich,51,0,33,0,unter 10
30,164e332ec2924d0a914886ab1f1804bf,2019-07-09 10:54:58,31,61,63,39,männlich,16,0,0,35,Ein mal
31,512d02013fe647c8a0bb3e9290c0a36d,2019-07-09 10:55:35,5,0,15,25,männlich,16,0,0,0,Noch nie
